id	gene_short_name	locus	normal_FPKM	sorafenib-resistant_FPKM
XLOC_005594	"C1QTNF5,MFRP"	chr11:119338933-119346673	5.62787	8.24876
XLOC_005595	USP2	chr11:119355214-119637015	1.28569	1.46499
XLOC_005596	THY1	chr11:119355214-119637015	6.01628	11.0711
XLOC_005597	PVRL1	chr11:119638097-119728725	3.81164	4.18474
XLOC_005598	TRIM29	chr11:120111285-120138155	19.1057	2.49472
XLOC_005599	LOC649133	chr11:120236639-120319944	0	0
XLOC_005600	"BLID,MIR100HG"	chr11:122089057-122367920	1.48178	1.01882
XLOC_005601	MIR125B1	chr11:122089057-122367920	0	0
XLOC_005602	MIRLET7A2	chr11:122089057-122367920	0	0
XLOC_005603	MIR100	chr11:122089057-122367920	0	0
XLOC_005604	BSX	chr11:122977648-122981671	0	0
XLOC_005605	HSPA8	chr11:123057491-123062335	324.375	749.485
XLOC_005606	SNORD14E	chr11:123057491-123062335	0	0
XLOC_005607	SNORD14D	chr11:123057491-123062335	0	0
XLOC_005608	SNORD14C	chr11:123057491-123062335	0	0
XLOC_005609	CLMP	chr11:123062644-123195758	0.0232082	2.96582
XLOC_005610	MIR4493	chr11:123381439-123381512	0	0
XLOC_005611	SCN3B	chr11:123629186-123654607	0	0.0335175
XLOC_005612	ZNF202	chr11:123723926-123741683	2.41099	2.35062
XLOC_005613	OR6X1	chr11:123753579-123754518	0	0
XLOC_005614	OR6M1	chr11:123805407-123806349	0	0
XLOC_005615	TMEM225	chr11:123882925-123885642	0	0
XLOC_005616	OR6T1	chr11:123942866-123943838	0	0
XLOC_005617	OR10S1	chr11:123976695-123977691	0	0
XLOC_005618	OR10G7	chr11:124038065-124039001	0	0
XLOC_005619	OR8D1	chr11:124309839-124310766	0	0
XLOC_005620	OR8D2	chr11:124319261-124320197	0	0
XLOC_005621	OR8B2	chr11:124382401-124383343	0	0
XLOC_005622	OR8B3	chr11:124396409-124397351	0	0
XLOC_005623	OR8B4	chr11:124423941-124424871	0	0
XLOC_005624	OR8B8	chr11:124440149-124441085	0	0
XLOC_005625	OR8B12	chr11:124542721-124543654	0	0
XLOC_005626	SIAE	chr11:124622845-124694791	19.5425	27.296
XLOC_005627	VSIG2	chr11:124747473-124752213	47.6568	0.447058
XLOC_005628	ESAM	chr11:124753122-124765920	6.21965	9.57801
XLOC_005629	MSANTD2	chr11:124766497-124800404	4.73604	3.37941
XLOC_005630	ROBO4	chr11:124884217-124897935	1.62914	2.12947
XLOC_005631	HEPACAM	chr11:124919249-124936412	13.5148	4.13128
XLOC_005632	TMEM218	chr11:125093472-125111763	3.38498	4.44033
XLOC_005633	PKNOX2-AS1	chr11:125158460-125164609	0	0
XLOC_005634	FEZ1	chr11:125445744-125499526	0.693054	1.70561
XLOC_005635	ACRV1	chr11:125624716-125680898	0.173422	0.115028
XLOC_005636	PATE2	chr11:125776130-125778819	0.0515842	0.0436991
XLOC_005637	PUS3	chr11:125883613-125903221	15.1435	17.9189
XLOC_005638	CDON	chr11:125956817-126063292	1.16803	1.50592
XLOC_005639	RPUSD4	chr11:126202093-126211692	13.0724	12.6796
XLOC_005640	SRPR	chr11:126211723-126268982	73.4529	61.1639
XLOC_005641	ST3GAL4-AS1	chr11:126303751-126355587	3.36743	9.73946
XLOC_005642	DCPS	chr11:126303751-126355587	1.51934	1.31565
XLOC_005643	KIRREL3	chr11:126423500-127000870	0.0646019	0.0224962
XLOC_005644	MIR3167	chr11:126423500-127000870	0	0
XLOC_005645	ETS1	chr11:128458759-128587558	8.39671	7.59899
XLOC_005646	SENCR	chr11:128686534-128813267	0.0749788	0.344925
XLOC_005647	KCNJ1	chr11:128838013-128867373	0.0360355	0.0135778
XLOC_005648	C11orf45	chr11:128891417-128921148	0.195113	0.212754
XLOC_005649	TP53AIP1	chr11:128934731-128943399	0.0132279	0.259771
XLOC_005650	ARHGAP32	chr11:128965059-129279463	3.87296	2.19685
XLOC_005651	-	chr11:129285047-129303570	2.71362	1.99273
XLOC_005652	LINC01395	chr11:129612120-129617269	0	0
XLOC_005653	NFRKB	chr11:129863641-129895595	10.5576	8.64471
XLOC_005654	PRDM10	chr11:129899705-130005486	1.07933	1.2947
XLOC_005655	ZBTB44	chr11:130226529-130314891	5.95472	4.90864
XLOC_005656	ADAMTS8	chr11:130404922-130428644	0.0221927	0.0647622
XLOC_005657	LOC100507431	chr11:130844192-130862110	0.33098	0.0747921
XLOC_005658	LOC103611081	chr11:130866248-130870247	1.47683	0.661628
XLOC_005659	SNX19	chr11:130875699-130916489	12.2161	7.00416
XLOC_005660	LOC101929653	chr11:131370475-132336822	0	0
XLOC_005661	C11orf39	chr11:131370475-132336822	0	0
XLOC_005662	OPCML	chr11:132414980-133532508	0.0100891	0.00870139
XLOC_005663	LOC646522	chr11:133783670-133810376	0	0
XLOC_005664	SPATA19	chr11:133840621-133845538	0	0
XLOC_005665	MIR4697HG	chr11:133896434-133901740	0.00527893	0.0491292
XLOC_005666	IGSF9B	chr11:133908624-133956754	0	0.00791291
XLOC_005667	NCAPD3	chr11:134151986-134247794	3.54933	4.48601
XLOC_005668	THYN1	chr11:134248278-134253366	28.5012	31.8813
XLOC_005669	B3GAT1	chr11:134378503-134411918	0.0558912	0.177194
XLOC_005670	-	chr11:135003609-135007893	1.06583	0
XLOC_005671	-	chr11:270446-271748	0.228103	0.0240524
XLOC_005672	-	chr11:6488381-6490105	0.301882	0.387548
XLOC_005673	-	chr11:6685457-6686522	0.365373	0.18315
XLOC_005674	-	chr11:9592917-9593363	0.650829	1.10773
XLOC_005675	-	chr11:10300322-10302723	0.409813	0.264499
XLOC_005676	-	chr11:11795844-11796933	0.437419	0.0859487
XLOC_005677	-	chr11:17086560-17207993	0.64378	0
XLOC_005678	-	chr11:17276717-17349973	1.37931	0.828467
XLOC_005679	-	chr11:20512333-20514475	0.441297	0.467322
XLOC_005680	-	chr11:22627151-22628543	0.259602	0.393649
XLOC_005681	-	chr11:22659942-22662357	0.420865	0.562661
XLOC_005682	-	chr11:23125369-23126460	0.372784	0.337173
XLOC_005683	-	chr11:25786667-25787727	0	0.44367
XLOC_005684	-	chr11:27291037-27292483	0.456072	0.282751
XLOC_005685	-	chr11:28431306-28432366	0.0768212	0.9695
XLOC_005686	-	chr11:28495379-28496107	0	0.659476
XLOC_005687	-	chr11:28528583-28529561	0.527618	0.224986
XLOC_005688	-	chr11:28754291-28754949	0	0.952361
XLOC_005689	-	chr11:28758557-28759408	0	0.726813
XLOC_005690	-	chr11:28798163-28799240	0	1.35149
XLOC_005691	-	chr11:28899102-28899770	0	1.06515
XLOC_005692	-	chr11:28905275-28905772	0	2.05414
XLOC_005693	-	chr11:29289504-29290265	0.0464163	0.828254
XLOC_005694	-	chr11:29297424-29298174	0	1.70131
XLOC_005695	-	chr11:29299597-29301723	0.0195256	0.192519
XLOC_005696	-	chr11:29320189-29320834	0	0.916809
XLOC_005697	-	chr11:29323652-29324569	0	0.683371
XLOC_005698	-	chr11:29332048-29332693	0	0.764007
XLOC_005699	-	chr11:29348103-29350089	0	0.533376
XLOC_005700	-	chr11:29494594-29495675	0.0260133	0.87527
XLOC_005701	-	chr11:29499528-29500598	0	0.856789
XLOC_005702	-	chr11:36479963-36481559	0.348417	0.05522
XLOC_005703	-	chr11:38868571-38870383	0.288163	0.164626
XLOC_005704	-	chr11:39025072-39026498	0.318485	0.0678422
XLOC_005705	-	chr11:43644253-43645703	0.600683	0.363876
XLOC_005706	-	chr11:56882981-56883913	0.327078	0
XLOC_005707	-	chr11:57626679-57627994	0	0.375325
XLOC_005708	-	chr11:58687193-58689194	0.312892	0.27261
XLOC_005709	-	chr11:58691184-58692738	0.102157	0.280186
XLOC_005710	-	chr11:59105812-59106754	0.744151	0.339306
XLOC_005711	-	chr11:59560507-59561784	0.146832	0.3908
XLOC_005712	-	chr11:60211976-60212935	0	1.19857
XLOC_005713	-	chr11:60213319-60214380	0	0.417702
XLOC_005714	-	chr11:61430070-61468682	0.32813	0.598685
XLOC_005715	-	chr11:61968263-61969609	0.655595	0.745047
XLOC_005716	-	chr11:61978190-61981052	0.207605	0.646112
XLOC_005717	-	chr11:63769598-63771197	0.451508	0.15799
XLOC_005718	-	chr11:65069530-65070291	0.897798	0.529518
XLOC_005719	-	chr11:65419550-65420466	0.546069	0.28188
XLOC_005720	-	chr11:65785393-65786814	0.443293	0
XLOC_005721	-	chr11:65808232-65808998	0.660957	0
XLOC_005722	-	chr11:67264319-67266383	0.280164	0.0242057
XLOC_005723	-	chr11:67288593-67289037	2.28407	0.181553
XLOC_005724	-	chr11:67772432-67775216	0.420655	0
XLOC_005725	-	chr11:69305244-69307179	0.47882	0.014486
XLOC_005726	-	chr11:69343258-69345113	0.138689	0.122021
XLOC_005727	-	chr11:69966505-70189546	0.341493	0
XLOC_005728	-	chr11:69966505-70189546	0.542751	0
XLOC_005729	-	chr11:69966505-70189546	0.757464	0
XLOC_005730	-	chr11:70398012-70398465	1.26147	1.64255
XLOC_005731	-	chr11:71286710-71287751	0.412886	0
XLOC_005732	STARD10	chr11:72754725-72793705	0.296022	0.190949
XLOC_005733	-	chr11:73302602-73303541	0.129268	0.830746
XLOC_005734	-	chr11:74485302-74486224	0.0566248	0.29391
XLOC_005735	-	chr11:74504753-74505982	0.108091	0.494668
XLOC_005736	-	chr11:75100397-75206400	0	8.59548
XLOC_005737	-	chr11:75100397-75206400	0	16.7262
XLOC_005738	-	chr11:76320500-76321018	1.39422	0
XLOC_005739	-	chr11:76444235-76444676	14.4242	11.9327
XLOC_005740	-	chr11:76558720-76560512	0.458904	0.310008
XLOC_005741	-	chr11:76652460-76653599	0.030508	0.306647
XLOC_005742	-	chr11:76758037-76760538	0.215219	0.956379
XLOC_005743	-	chr11:76766550-76767952	0.180655	0.242565
XLOC_005744	-	chr11:77045494-77046999	0.887693	0
XLOC_005745	-	chr11:78097670-78098534	0.571072	0.0691774
XLOC_005746	-	chr11:78431264-78433472	0.509808	0.117503
XLOC_005747	-	chr11:83072058-83093877	0.322082	0.303155
XLOC_005748	-	chr11:83072058-83093877	0.528294	0.51733
XLOC_005749	-	chr11:83072058-83093877	1.24534	1.47938
XLOC_005750	-	chr11:86713829-86715111	0.0611546	0.291427
XLOC_005751	-	chr11:86715405-86716439	0.278087	0.196166
XLOC_005752	-	chr11:87467705-87468543	0.390473	0.13986
XLOC_005753	-	chr11:87597674-87598872	0.246525	0
XLOC_005754	-	chr11:87954835-88175467	0.318137	0.0524897
XLOC_005755	-	chr11:88337901-88428138	0.0322071	0.385837
XLOC_005756	-	chr11:88337901-88428138	0.127668	0.418133
XLOC_005757	-	chr11:90224267-90225105	0.395158	0.529084
XLOC_005758	-	chr11:93054125-93054887	0.694543	0.0302445
XLOC_005759	-	chr11:93070953-93072163	0.44195	0.0418718
XLOC_005760	-	chr11:94279749-94281757	0.371183	0.156411
XLOC_005761	-	chr11:95308797-95309832	0	0.413496
XLOC_005762	-	chr11:102783675-103048523	0	1.13827
XLOC_005763	-	chr11:102783675-103048523	0	0.814266
XLOC_005764	-	chr11:102783675-103048523	0	0.555654
XLOC_005765	-	chr11:102783675-103048523	0	1.29531
XLOC_005766	-	chr11:102783675-103048523	0	0.571195
XLOC_005767	-	chr11:104990512-104991164	0.696172	0.0746764
XLOC_005768	-	chr11:105996345-106022372	0.0710111	0.269652
XLOC_005769	-	chr11:105996345-106022372	0.307212	0.545185
XLOC_005770	-	chr11:106046954-106049044	0.288866	0.255694
XLOC_005771	-	chr11:110468887-110471531	0.290058	0.115735
XLOC_005772	-	chr11:112379788-112381222	0.481685	0.551768
XLOC_005773	-	chr11:113377008-113379849	0.597876	0.532169
XLOC_005774	-	chr11:115987888-115989117	0.0762893	0.471799
XLOC_005775	-	chr11:116122619-116124313	0.2425	0.0890178
XLOC_005776	-	chr11:116225445-116226952	0.592241	1.75321
XLOC_005777	-	chr11:116579966-116581749	0.0480127	0.403292
XLOC_005778	-	chr11:117800842-117802419	0.564653	0.0444706
XLOC_005779	-	chr11:118687583-118688189	2.66234	0.195972
XLOC_005780	-	chr11:118792387-118793316	0.669372	0.256145
XLOC_005781	-	chr11:118869330-118871058	0.0454914	0.197586
XLOC_005782	-	chr11:118996696-118997994	0.576657	0.582294
XLOC_005783	-	chr11:120168655-120229941	0.193159	0.393962
XLOC_005784	-	chr11:122089057-122367920	0.116515	0.176781
XLOC_005785	-	chr11:125049039-125050429	0.117949	0.437355
XLOC_005786	-	chr11:128161497-128162107	0.959239	0
XLOC_005787	-	chr11:128302162-128303429	0.559424	0.0998556
XLOC_005788	-	chr11:128965059-129279463	0.521225	0.0258607
XLOC_005789	-	chr11:129279740-129280468	1.07826	1.18103
XLOC_005790	-	chr11:130067924-130069287	0.345217	0.365149
XLOC_005791	-	chr11:134518253-134519676	0.0530957	0.160276
XLOC_005792	-	chr11:134519955-134520631	0.43186	0.605575
XLOC_005793	OR5T3	chr11_JH159136v1_alt:62948-63971	0	0
XLOC_005794	OR5T1	chr11_JH159136v1_alt:86387-87368	0	0
XLOC_005795	OR8K3	chr11_JH159136v1_alt:129055-129994	0	0
XLOC_005796	OR8K1	chr11_JH159136v1_alt:156787-157747	0	0
XLOC_005797	OR8J1	chr11_JH159136v1_alt:170963-172037	0	0
XLOC_005798	"OR8U1,OR8U8"	chr11_JH159136v1_alt:186373-187333	0	0
XLOC_005799	OR8U9	chr11_JH159136v1_alt:193978-194908	0	0
XLOC_005800	OR5T2	chr11_JH159136v1_alt:42854-43934	0	0
XLOC_005801	OR8H1	chr11_JH159136v1_alt:100875-101811	0	0
XLOC_005802	OR9G1	chr11_JH159137v1_alt:7153-8071	0	0
XLOC_005803	OR9G9	chr11_JH159137v1_alt:18233-19151	0	0
XLOC_005804	MIR6128	chr11_JH159137v1_alt:61714-61823	0	0
XLOC_005805	OR9G4	chr11_JH159137v1_alt:60669-61653	0	0
XLOC_005806	MRPL23	chr11_KI270721v1_random:2584-11804	0	3.52489
XLOC_005807	"HOTS,LINC01219"	chr11_KI270721v1_random:46271-56648	0	0
XLOC_005808	"H19,MIR675"	chr11_KI270721v1_random:46271-56648	0	0
XLOC_005809	LOC338694	chr11_KI270827v1_alt:3037-6272	0	0
XLOC_005810	OR5E1P	chr11_KI270829v1_alt:80569-81090	0	0
XLOC_005811	OR5P2	chr11_KI270829v1_alt:16841-17810	0	0
XLOC_005812	OR5P3	chr11_KI270829v1_alt:45904-46840	0	0
XLOC_005813	LOC283299	chr11_KI270829v1_alt:82266-137456	0	0
XLOC_005814	OR10A6	chr11_KI270829v1_alt:159218-160163	0	0
XLOC_005815	OR10A3	chr11_KI270829v1_alt:170076-171021	0	0
XLOC_005816	NLRP10	chr11_KI270829v1_alt:191109-195013	0	0
XLOC_005817	KRTAP5-AS1	chr11_KI270830v1_alt:54977-104381	0	0
XLOC_005818	KRTAP5-5	chr11_KI270830v1_alt:112039-113166	0	0
XLOC_005819	"FAM99A,FAM99B"	chr11_KI270830v1_alt:147833-150093	0	0
XLOC_005820	DUSP8	chr11_KI270830v1_alt:36287-54157	0	0
XLOC_005821	KRTAP5-1	chr11_KI270830v1_alt:54977-104381	0	0
XLOC_005822	"KRTAP5-2,KRTAP5-3,KRTAP5-4,KRTAP5-5,KRTAP5-6"	chr11_KI270830v1_alt:54977-104381	0	0
XLOC_005823	FAM99B	chr11_KI270830v1_alt:165506-167866	0	0
XLOC_005824	KCNQ1	chr11_KI270831v1_alt:1030-93727	0	0
XLOC_005825	KCNQ1DN	chr11_KI270831v1_alt:102233-104281	0	0
XLOC_005826	SLC22A18	chr11_KI270831v1_alt:119555-157362	0	0
XLOC_005827	KCNQ1-AS1	chr11_KI270831v1_alt:1030-93727	0	0
XLOC_005828	CDKN1C	chr11_KI270831v1_alt:115396-117975	0	0
XLOC_005829	SLC22A18AS	chr11_KI270831v1_alt:119555-157362	0	0
XLOC_005830	PHLDA2	chr11_KI270831v1_alt:160387-161535	0	0
XLOC_005831	NAP1L4	chr11_KI270831v1_alt:175477-223447	0	0
XLOC_005832	SNORA54	chr11_KI270831v1_alt:175477-223447	0	0
XLOC_005833	CARS	chr11_KI270831v1_alt:231983-288483	0	0
XLOC_005834	PTDSS2	chr11_KI270832v1_alt:3533-21028	0	0
XLOC_005835	LRRC56	chr11_KI270832v1_alt:67162-90434	0	0
XLOC_005836	RASSF7	chr11_KI270832v1_alt:90626-93681	0	0
XLOC_005837	PHRF1	chr11_KI270832v1_alt:106101-142116	0	0
XLOC_005838	DRD4	chr11_KI270832v1_alt:167177-170576	0	0
XLOC_005839	RNH1	chr11_KI270832v1_alt:24152-36924	0	0
XLOC_005840	HRAS	chr11_KI270832v1_alt:61882-65191	0	0
XLOC_005841	LMNTD2	chr11_KI270832v1_alt:67162-90434	0	0
XLOC_005842	MIR210HG	chr11_KI270832v1_alt:95311-98112	0	0
XLOC_005843	MIR210	chr11_KI270832v1_alt:95311-98112	0	0
XLOC_005844	LOC143666	chr11_KI270832v1_alt:103464-105541	0	0
XLOC_005845	IRF7	chr11_KI270832v1_alt:142447-145898	0	0
XLOC_005846	CDHR5	chr11_KI270832v1_alt:146463-154966	0	0
XLOC_005847	SCT	chr11_KI270832v1_alt:156211-157072	0	0
XLOC_005848	DEAF1	chr11_KI270832v1_alt:176099-206711	0	0
XLOC_005849	AP2A2	chr11_KI270902v1_alt:22179-74988	0	0
XLOC_005850	MUC6	chr11_KI270902v1_alt:75566-106271	0	0
XLOC_005851	KRTAP5-AS1	chr11_KI270903v1_alt:49267-75727	0	0
XLOC_005852	KRTAP5-5	chr11_KI270903v1_alt:106538-107617	0	0
XLOC_005853	"FAM99A,FAM99B"	chr11_KI270903v1_alt:139666-141959	0	0
XLOC_005854	KRTAP5-6	chr11_KI270903v1_alt:170940-171501	0	0
XLOC_005855	DUSP8	chr11_KI270903v1_alt:30577-48447	0	0
XLOC_005856	KRTAP5-1	chr11_KI270903v1_alt:49267-75727	0	0
XLOC_005857	KRTAP5-2	chr11_KI270903v1_alt:49267-75727	0	0
XLOC_005858	KRTAP5-3	chr11_KI270903v1_alt:84117-85016	0	0
XLOC_005859	KRTAP5-4	chr11_KI270903v1_alt:97514-98873	0	0
XLOC_005860	FAM99B	chr11_KI270903v1_alt:157057-159125	0	0
XLOC_005861	IFITM10	chr11_KI270903v1_alt:206155-209175	0	0
XLOC_005862	AP2A2	chr11_KI270927v1_alt:22179-81836	0	0
XLOC_005863	MUC2	chr11_KI270927v1_alt:149267-178809	0	0
XLOC_005864	MUC6	chr11_KI270927v1_alt:82414-111099	0	0
XLOC_005865	IQSEC3	chr12:66882-178459	0.155748	0.0712023
XLOC_005866	LOC101929384	chr12:190076-214205	0.0506882	0
XLOC_005867	CCDC77	chr12:273823-442641	2.35007	2.67969
XLOC_005868	B4GALNT3	chr12:460337-563488	6.20591	1.11358
XLOC_005869	LOC100049716	chr12:564294-663741	3.57276	3.22546
XLOC_005870	WNK1	chr12:752548-991154	11.3721	15.4483
XLOC_005871	ERC1	chr12:991207-1496012	2.52975	3.76172
XLOC_005872	LINC00942	chr12:1500358-1506905	0.018658	5.11556
XLOC_005873	WNT5B	chr12:1530842-1647213	1.374	6.57817
XLOC_005874	ADIPOR2	chr12:1691029-1788862	51.8002	37.2563
XLOC_005875	LRTM2	chr12:1791956-1918704	0.0222322	0.010489
XLOC_005876	CACNA1C-IT2	chr12:2048351-2049462	0	0
XLOC_005877	CACNA1C	chr12:2053249-2697949	0.0713684	0.111731
XLOC_005878	CACNA1C-IT3	chr12:2053249-2697949	0	0
XLOC_005879	FKBP4	chr12:2794941-2805421	27.7574	68.7085
XLOC_005880	ITFG2	chr12:2812620-2835055	2.90361	3.83538
XLOC_005881	LOC100507424	chr12:2836815-2889525	0.403611	0.654635
XLOC_005882	RHNO1	chr12:2836815-2889525	6.67176	10.6791
XLOC_005883	TULP3	chr12:2890866-2941140	7.12035	6.18686
XLOC_005884	TEAD4	chr12:2956984-3040676	3.77644	5.49206
XLOC_005885	TSPAN9	chr12:3077354-3286564	14.0382	17.7902
XLOC_005886	PRMT8	chr12:3381348-3593972	0	0
XLOC_005887	CCND2	chr12:4248766-4305356	0.743379	0.998508
XLOC_005888	TIGAR	chr12:4321192-4360024	0.649951	1.11914
XLOC_005889	RAD51AP1	chr12:4538783-4560047	3.91972	6.62377
XLOC_005890	DYRK4	chr12:4590071-4613888	12.1557	12.1113
XLOC_005891	NDUFA9	chr12:4649097-4687554	40.231	54.5887
XLOC_005892	"GALNT8,KCNA6"	chr12:4720340-4851891	1.94435	0.0336872
XLOC_005893	KCNA1	chr12:4909906-4918256	0.00198732	0.00637209
XLOC_005894	KCNA5	chr12:5043918-5046788	0.0518309	0.0474172
XLOC_005895	NTF3	chr12:5401516-5495299	0.169504	0.532289
XLOC_005896	CD9	chr12:6200315-6238271	178.44	23.0735
XLOC_005897	PLEKHG6	chr12:6310435-6328719	6.76414	1.94059
XLOC_005898	LTBR	chr12:6346842-6396523	57.4044	73.8369
XLOC_005899	"CD27,TAPBPL"	chr12:6439000-6470899	21.1002	21.719
XLOC_005900	NCAPD2	chr12:6494131-6531966	4.87343	8.69872
XLOC_005901	SCARNA10	chr12:6494131-6531966	0.715736	0.908115
XLOC_005902	GAPDH	chr12:6534404-6538375	1403.51	3903.7
XLOC_005903	COPS7A	chr12:6723983-6731875	32.4236	33.117
XLOC_005904	PTMS	chr12:6766374-6770952	306.459	263.599
XLOC_005905	LAG3	chr12:6772503-6778455	1.03088	5.44083
XLOC_005906	CD4	chr12:6789471-6820810	9.31258	18.5767
XLOC_005907	GPR162	chr12:6821796-6827418	0.293997	1.58973
XLOC_005908	P3H3	chr12:6828372-6839854	3.50039	0.457716
XLOC_005909	GNB3	chr12:6840853-6852066	0.90152	0.544153
XLOC_005910	USP5	chr12:6852120-6866631	25.8932	25.2929
XLOC_005911	TPI1	chr12:6867419-6885933	315.094	540.291
XLOC_005912	"DSTNP2,RPL13P5"	chr12:6867419-6885933	14.6636	14.0683
XLOC_005913	LRRC23	chr12:6904732-6914242	4.10992	3.36299
XLOC_005914	ENO2	chr12:6914449-6923696	4.69714	14.7951
XLOC_005915	ATN1	chr12:6924462-6942323	11.4691	13.923
XLOC_005916	"C12orf57,RNU7-1"	chr12:6943437-6946003	160.415	201.023
XLOC_005917	PTPN6	chr12:6946551-6961316	13.2912	20.4104
XLOC_005918	MIR141	chr12:6963221-6964405	11.9581	0
XLOC_005919	MIR200C	chr12:6963221-6964405	0	0
XLOC_005920	MIR141	chr12:6963221-6964405	0	0
XLOC_005921	EMG1	chr12:6970780-6976017	49.7048	41.0105
XLOC_005922	C1S	chr12:7060675-7071031	238.16	319.564
XLOC_005923	C1RL-AS1	chr12:7094549-7122696	1.14774	0.843027
XLOC_005924	CLSTN3	chr12:7123683-7158934	9.80452	18.705
XLOC_005925	PEX5	chr12:7189162-7218573	16.329	20.1319
XLOC_005926	ACSM4	chr12:7304331-7328373	0	0
XLOC_005927	CD163	chr12:7470815-7503818	1.17215	0.958652
XLOC_005928	DPPA3	chr12:7711453-7717556	0	0
XLOC_005929	NANOGNB	chr12:7765215-7774121	0	0.0342939
XLOC_005930	NANOG	chr12:7789395-7796061	0.0611301	0.083367
XLOC_005931	FOXJ2	chr12:8032721-8055522	3.34365	3.22372
XLOC_005932	NECAP1	chr12:8082210-8097777	10.4683	10.5035
XLOC_005933	CLEC4A	chr12:8123631-8138607	0.505302	1.23695
XLOC_005934	ZNF705A	chr12:8172553-8180046	0	0
XLOC_005935	FAM66C	chr12:8180208-8201000	0.116982	0.00907841
XLOC_005936	LOC101927905	chr12:8227702-8243033	0.416794	0.111046
XLOC_005937	CLEC6A	chr12:8455994-8478330	0	0
XLOC_005938	CLEC4D	chr12:8513539-8522364	0.0080445	0.0556729
XLOC_005939	RIMKLB	chr12:8681676-8783098	0.208078	0.386033
XLOC_005940	A2ML1	chr12:8822553-8876785	0.0315354	0
XLOC_005941	PHC1	chr12:8914611-8949761	1.53806	1.24556
XLOC_005942	KLRG1	chr12:8950111-9010744	0.805782	0.630764
XLOC_005943	A2M-AS1	chr12:9065176-9136795	1.06814	0.511143
XLOC_005944	-	chr12:9065176-9136795	1.40169	2.17597
XLOC_005945	LINC00987	chr12:9239429-9245512	0.639317	3.36219
XLOC_005946	LOC642846	chr12:9283507-9340539	1.63426	3.71441
XLOC_005947	LOC101930452	chr12:9346278-9407310	0.818591	0.706296
XLOC_005948	DDX12P	chr12:9417690-9448199	0.467883	0.0856351
XLOC_005949	LOC374443	chr12:9617283-9658414	0.77631	1.0736
XLOC_005950	CLEC2D	chr12:9664427-9699555	0.628958	1.33834
XLOC_005951	KLRF1	chr12:9827480-9845004	0.288802	0.299087
XLOC_005952	KLRF2	chr12:9881488-9895833	0	0
XLOC_005953	CLEC12A	chr12:9951315-9985813	0.164643	1.29078
XLOC_005954	CLEC12B	chr12:10010631-10030606	0.00972308	0.0248324
XLOC_005955	CLEC9A	chr12:10030676-10066030	0	0.225303
XLOC_005956	TMEM52B	chr12:10158299-10191804	0	0.0585712
XLOC_005957	GABARAPL1	chr12:10212889-10223125	29.6619	24.9131
XLOC_005958	KLRD1	chr12:10304450-10317251	0.204341	0.420956
XLOC_005959	LOC101928100	chr12:10363724-10410146	0.0917636	0.10711
XLOC_005960	LOC101928162	chr12:10750233-10777451	0	0
XLOC_005961	PRH2	chr12:10845848-11176020	0.0592942	0.0540466
XLOC_005962	SMIM10L1	chr12:10845848-11176020	4.45654	5.93159
XLOC_005963	LINC01252	chr12:11548029-11564407	0.446982	0.241756
XLOC_005964	ETV6	chr12:11649853-11895609	4.08321	3.63975
XLOC_005965	BCL2L14	chr12:12070927-12101494	2.54606	1.3057
XLOC_005966	MIR1244-2	chr12:12111951-12112033	0	0
XLOC_005967	LOH12CR1	chr12:12357078-12470047	3.20678	3.46264
XLOC_005968	CREBL2	chr12:12611832-12645108	12.4679	14.3247
XLOC_005969	CDKN1B	chr12:12717269-12722382	21.0818	21.3175
XLOC_005970	APOLD1	chr12:12725916-12791482	2.15057	3.11542
XLOC_005971	MIR613	chr12:12725916-12791482	0	0
XLOC_005972	DDX47	chr12:12813345-12829981	20.1785	21.3041
XLOC_005973	RPL13AP20	chr12:12870582-12876622	2.35338	1.53427
XLOC_005974	"GPRC5A,MIR614"	chr12:12891021-12918084	38.8755	16.1725
XLOC_005975	LOC100506314	chr12:12974864-13000309	1.00163	0.96589
XLOC_005976	HTR7P1	chr12:13000441-13004830	0.562591	0.398448
XLOC_005977	KIAA1467	chr12:13022129-13083449	1.48873	1.0931
XLOC_005978	MIR7641-2	chr12:13022129-13083449	0	0
XLOC_005979	EMP1	chr12:13196667-13219895	10.0133	8.61997
XLOC_005980	GRIN2B	chr12:13561475-13980088	1.59369	0.492057
XLOC_005981	ATF7IP	chr12:14365631-14696585	3.2654	4.13081
XLOC_005982	PLBD1-AS1	chr12:14365631-14696585	0.473064	0.80846
XLOC_005983	H2AFJ	chr12:14774335-14778002	15.6473	21.4155
XLOC_005984	C12orf60	chr12:14803571-14823857	1.40375	2.69454
XLOC_005985	PDE6H	chr12:14973021-14981866	0	0
XLOC_005986	LINC01489	chr12:15001832-15006683	0	0
XLOC_005987	RERG-AS1	chr12:15107781-15221477	0	0
XLOC_005988	PTPRO	chr12:15322256-15598331	0.0839219	0.488499
XLOC_005989	STRAP	chr12:15882353-15903482	48.5472	58.7912
XLOC_005990	DERA	chr12:15911171-16037381	19.0001	27.3583
XLOC_005991	MGST1	chr12:16347141-16377189	599.092	800.171
XLOC_005992	SKP1P2	chr12:16988746-16990628	0	0.0350822
XLOC_005993	MIR3974	chr12:17673298-17673394	0	0
XLOC_005994	PIK3C2G	chr12:18242747-18648418	0.142055	1.27777
XLOC_005995	PLCZ1	chr12:18683175-18739188	0.00819529	0.136249
